tabla,columna,tipo_dato,admite_nulos,es_clave_primaria,registros_tabla,descripcion_negocio,regla_negocio,sensibilidad,origen,linaje,transformacion_aplicada,caso
clientes_limpio,id_cliente,INTEGER,Si,No,200,Identificador único del huésped en el sistema hotelero.,"Único, no nulo. No se reasigna a otro huésped.",Interno,caso_legacy.db,caso_legacy.db -> ETL Semana 10 -> caso_migrado.db.clientes_limpio,Sin transformacion: se migro tal cual.,05_hotel_andes_stay
clientes_limpio,codigo_cliente,TEXT,Si,No,200,Código de registro interno del huésped.,Formato obligatorio 'C' seguido de 4 dígitos (ej. C0001). Único por cliente.,Interno,caso_legacy.db,caso_legacy.db -> ETL Semana 10 -> caso_migrado.db.clientes_limpio,Sin transformacion: se migro tal cual.,05_hotel_andes_stay
clientes_limpio,tipo_documento,TEXT,Si,No,200,Tipo de documento oficial de identidad presentado en el check-in.,"Valores permitidos: DNI, CE, RUC. Obligatorio por normativa de registro hotelero (MINCETUR).",Interno,caso_legacy.db,caso_legacy.db -> ETL Semana 10 -> caso_migrado.db.clientes_limpio,Sin transformacion: se migro tal cual.,05_hotel_andes_stay
clientes_limpio,num_documento,TEXT,Si,No,200,Número de documento de identidad del huésped.,"DNI de 8 dígitos, RUC de 11 dígitos o formato numérico válido para CE. No nulo y único.",Confidencial,caso_legacy.db,caso_legacy.db -> ETL Semana 10 -> caso_migrado.db.clientes_limpio,Se eliminaron los registros con documento duplicado.,05_hotel_andes_stay
clientes_limpio,nombres,TEXT,Si,No,200,Nombres completos del huésped registrados en recepción.,Solo letras y espacios. Debe almacenarse estandarizado en formato Título.,Interno,caso_legacy.db,caso_legacy.db -> ETL Semana 10 -> caso_migrado.db.clientes_limpio,Se quitaron espacios y se paso a formato Titulo.,05_hotel_andes_stay
clientes_limpio,apellidos,TEXT,Si,No,200,Apellidos completos del huésped.,Solo letras y espacios. Requerido obligatoriamente para emisión de comprobantes de pago.,Interno,caso_legacy.db,caso_legacy.db -> ETL Semana 10 -> caso_migrado.db.clientes_limpio,Se quitaron espacios y se paso a formato Titulo.,05_hotel_andes_stay
clientes_limpio,correo,TEXT,Si,No,200,Correo electrónico de contacto para confirmaciones de reserva y comprobantes.,Debe contener '@' y un dominio válido. Requiere consentimiento expreso (Ley 29733).,Confidencial,caso_legacy.db,caso_legacy.db -> ETL Semana 10 -> caso_migrado.db.clientes_limpio,Los correos invalidos se anularon y se marcaron SIN CORREO REGISTRADO.,05_hotel_andes_stay
clientes_limpio,telefono,TEXT,Si,No,200,Número telefónico de contacto del huésped para coordinaciones de llegada.,Formato de 9 dígitos numéricos para móviles locales y código de país si es extranjero.,Confidencial,caso_legacy.db,caso_legacy.db -> ETL Semana 10 -> caso_migrado.db.clientes_limpio,Los telefonos vacios se rellenaron con 000000000.,05_hotel_andes_stay
clientes_limpio,distrito,TEXT,Si,No,200,Distrito de residencia habitual o procedencia declarada por el huésped.,Debe coincidir con la lista oficial de distritos de Lima o registrar provincia/extranjero.,Interno,caso_legacy.db,caso_legacy.db -> ETL Semana 10 -> caso_migrado.db.clientes_limpio,Sin transformacion: se migro tal cual.,05_hotel_andes_stay
clientes_limpio,segmento,TEXT,Si,No,200,Categorización comercial del huésped según su perfil de viaje y recurrencia.,"Valores permitidos: Regular, Preferente, Nuevo, Corporativo. Determina beneficios.",Interno,caso_legacy.db,caso_legacy.db -> ETL Semana 10 -> caso_migrado.db.clientes_limpio,Sin transformacion: se migro tal cual.,05_hotel_andes_stay
clientes_limpio,fecha_registro,TEXT,Si,No,200,Fecha de alta del huésped en el sistema de Hotel Andes Stay.,Formato AAAA-MM-DD. Debe ser igual o menor a la fecha de su primera operación.,Interno,caso_legacy.db,caso_legacy.db -> ETL Semana 10 -> caso_migrado.db.clientes_limpio,Sin transformacion: se migro tal cual.,05_hotel_andes_stay
clientes_limpio,nacionalidad,TEXT,Si,No,200,País de origen o nacionalidad declarada por el huésped.,Clasificado como Dato Personal (Ley 29733). Obligatorio para el reporte MINCETUR.,Confidencial,caso_legacy.db,caso_legacy.db -> ETL Semana 10 -> caso_migrado.db.clientes_limpio,Sin transformacion: se migro tal cual.,05_hotel_andes_stay
clientes_limpio,correo_fue_corregido,INTEGER,Si,No,200,PENDIENTE DE DOCUMENTAR,PENDIENTE DE DOCUMENTAR,Interno,caso_legacy.db,caso_legacy.db -> ETL Semana 10 -> caso_migrado.db.clientes_limpio,COLUMNA NUEVA creada por el ETL de la S10.,05_hotel_andes_stay
detalle_operacion,id_detalle,INTEGER,Si,No,2463,PENDIENTE DE DOCUMENTAR,PENDIENTE DE DOCUMENTAR,Interno,caso_legacy.db,caso_legacy.db -> Copia directa -> caso_migrado.db.detalle_operacion,Sin transformacion: se copio tal cual desde el origen.,05_hotel_andes_stay
detalle_operacion,id_operacion,INTEGER,Si,No,2463,PENDIENTE DE DOCUMENTAR,PENDIENTE DE DOCUMENTAR,Interno,caso_legacy.db,caso_legacy.db -> Copia directa -> caso_migrado.db.detalle_operacion,Sin transformacion: se copio tal cual desde el origen.,05_hotel_andes_stay
detalle_operacion,id_producto,INTEGER,Si,No,2463,PENDIENTE DE DOCUMENTAR,PENDIENTE DE DOCUMENTAR,Interno,caso_legacy.db,caso_legacy.db -> Copia directa -> caso_migrado.db.detalle_operacion,Sin transformacion: se copio tal cual desde el origen.,05_hotel_andes_stay
detalle_operacion,cantidad,INTEGER,Si,No,2463,PENDIENTE DE DOCUMENTAR,PENDIENTE DE DOCUMENTAR,Interno,caso_legacy.db,caso_legacy.db -> Copia directa -> caso_migrado.db.detalle_operacion,Sin transformacion: se copio tal cual desde el origen.,05_hotel_andes_stay
detalle_operacion,precio_unitario,REAL,Si,No,2463,PENDIENTE DE DOCUMENTAR,PENDIENTE DE DOCUMENTAR,Interno,caso_legacy.db,caso_legacy.db -> Copia directa -> caso_migrado.db.detalle_operacion,Sin transformacion: se copio tal cual desde el origen.,05_hotel_andes_stay
detalle_operacion,subtotal,REAL,Si,No,2463,PENDIENTE DE DOCUMENTAR,PENDIENTE DE DOCUMENTAR,Interno,caso_legacy.db,caso_legacy.db -> Copia directa -> caso_migrado.db.detalle_operacion,Sin transformacion: se copio tal cual desde el origen.,05_hotel_andes_stay
empleados,id_empleado,INTEGER,Si,No,40,PENDIENTE DE DOCUMENTAR,PENDIENTE DE DOCUMENTAR,Interno,caso_legacy.db,caso_legacy.db -> Copia directa -> caso_migrado.db.empleados,Sin transformacion: se copio tal cual desde el origen.,05_hotel_andes_stay
empleados,codigo_empleado,TEXT,Si,No,40,PENDIENTE DE DOCUMENTAR,PENDIENTE DE DOCUMENTAR,Interno,caso_legacy.db,caso_legacy.db -> Copia directa -> caso_migrado.db.empleados,Sin transformacion: se copio tal cual desde el origen.,05_hotel_andes_stay
